id,currency,date,open,high,low,close,active
215,TTD,1997-03-05,15073,9570,4348,5073,False
216,PHP,1989-04-14,17757,20021,3297,15522,False
217,MVR,1979-01-28,11402,12767,15496,5298,False
218,CZK,1983-08-17,13105,2348,19728,20362,True
219,KGS,1988-06-02,20871,16864,6410,7119,True
220,GYD,1989-10-17,2946,14936,9210,1910,True
221,TRY,1986-03-23,14420,389,18032,8910,True
222,CUC,1997-12-22,20431,7881,4375,7243,True
223,USD,2016-12-31,364,10549,18816,13975,True
224,BND,2012-10-15,2613,18632,5231,9888,True
225,GBP,1983-04-29,4041,16607,20172,22775,True
226,TJS,1984-10-03,20906,17877,7422,15595,True
227,TRY,1991-11-08,364,3123,5024,6108,True
228,BRL,1986-05-10,13153,15436,9869,3670,False
229,NPR,2003-04-27,12239,10477,12562,8392,True
230,CVE,2011-07-24,4402,12449,16166,2461,True
231,RWF,1992-02-19,14897,20675,9504,10657,True
232,CNY,1995-01-11,17699,13734,1385,18939,False
233,CUP,1991-03-23,9407,9995,21614,18069,True
234,SVC,2019-11-08,17571,8010,15034,918,True
235,FKP,1988-07-10,5481,17668,7502,18285,True
236,NIS,1971-09-19,15143,3518,13640,21339,True
237,SCR,1988-12-27,6584,7145,11456,3843,True
238,ANG,2006-09-18,7021,23186,17768,19357,True
239,RSD,2019-10-12,22968,17973,10266,23623,False
240,KMF,2001-05-28,16712,23259,21008,2288,False
241,CAD,1970-08-29,1738,19360,3751,13890,False
242,GTQ,2003-12-01,4169,16876,1188,18426,True
243,AWG,2021-04-26,8026,3188,7807,18475,True
244,BRL,2003-12-02,11557,14665,10267,7485,False
245,UZS,2017-01-26,6750,18013,9381,5492,True
246,JMD,1973-12-11,4159,15533,21881,15823,False
247,MZN,1971-12-30,23368,19623,16855,3409,True
248,ZAR,1981-07-01,22310,7561,19094,15869,False
249,SPL,2015-11-18,14506,2264,19476,4951,True
250,MDL,2022-12-03,17914,6408,21644,903,False
251,QAR,1976-07-10,4143,12434,21858,18755,True
252,SBD,2009-08-02,15213,9522,14675,13174,True
253,CUP,2007-05-29,17657,7971,17697,15476,False
254,GEL,1978-04-27,1785,12581,5648,8783,True
255,BMD,1978-06-13,2656,6036,10319,21297,False
256,ARS,1998-01-29,14836,14385,1810,22989,True
257,NAD,1981-06-06,8497,13732,20884,3874,False
258,GEL,1985-11-12,7882,20996,11214,15071,True
259,THB,1991-05-24,18126,15328,15484,14384,True
260,BRL,1976-07-13,20750,11454,13710,9542,True
261,SYP,1978-03-20,21009,13267,14648,12411,True
262,BWP,1970-09-15,4794,6980,20169,21416,False
263,GBP,2016-11-17,6513,4054,7952,22020,False
264,IRR,1982-09-02,13000,21190,17294,13942,False
265,BND,2007-03-27,18888,2041,14904,6044,False
266,LRD,2010-04-02,23441,517,12687,14300,True
267,IRR,2013-08-28,6297,7812,9572,23014,False
268,IRR,2003-11-07,21440,17743,20186,19099,True
269,ETB,1978-06-07,19078,13161,3509,10882,True
270,PAB,1989-08-16,4198,22869,4551,11016,True
271,KWD,2017-12-11,3817,11568,17885,4995,True
272,GEL,2001-11-01,15363,4762,1860,17259,True
273,SAR,1984-12-25,20206,11962,12485,18,False
274,ZWD,2023-01-19,15500,19539,5616,23708,False
275,MZN,1980-01-27,6828,9695,9732,13400,True
276,IRR,1979-05-02,3408,9367,5410,20643,False
277,ETB,1975-11-16,3056,3478,3264,2551,True
278,SLL,1973-12-20,835,22031,5096,8123,True
279,COP,1982-04-15,4852,16092,18286,4370,True
280,UGX,1993-01-21,18791,23673,12980,5615,True
281,GYD,2015-10-11,5392,18394,13608,19731,False
282,AOA,1974-05-17,9159,20179,7136,6652,True
283,UGX,1982-06-21,12085,16468,20624,9292,True
284,FJD,2003-02-05,21042,14375,16422,22650,False
285,LAK,1985-11-01,16636,6712,4790,14684,True
286,KES,2001-05-08,23886,2882,2287,18021,True
287,GGP,1990-09-25,18876,15944,10756,21261,True
288,QAR,1974-04-27,1422,9554,5974,11637,False
289,CLP,2007-08-28,17808,1972,17962,4609,True
290,BRL,2002-08-18,15464,19597,4042,14171,False
291,ANG,1975-02-14,21183,11307,17956,9796,True
292,KHR,1990-09-06,19570,20777,23935,15792,True
293,AED,1980-05-17,20542,5194,8174,16318,True
294,ERN,1978-06-05,6891,244,23472,18634,False
295,EUR,2004-01-19,1885,14013,2520,2660,False
296,BBD,1990-09-08,9791,21157,11394,11839,True
297,GMD,2023-05-07,21174,8817,11461,8602,True
298,MDL,2020-01-01,9973,4823,16376,8773,True
299,SAR,1984-02-23,11536,9083,22409,22363,True
300,HUF,2016-03-29,4678,11987,23913,12445,False
301,BBD,1980-08-26,4865,4639,15681,11566,False
302,CRC,2015-08-19,19546,18334,19750,14036,True
303,HRK,2000-12-14,19991,14691,18798,11192,True
304,VUV,2019-02-18,3829,22754,10329,8215,True
305,NPR,1997-10-17,5372,20887,4184,16373,True
306,INR,1994-04-13,14169,1068,13253,7909,False
307,SEK,2000-07-05,391,12729,13747,20336,False
308,MRO,2006-05-10,16972,20767,7876,3740,True
309,SHP,1976-06-28,13071,16273,5010,15558,True
310,YER,1995-01-08,4424,10529,17317,13422,True
311,NPR,1992-05-29,15158,3110,16781,2153,False
312,KHR,1985-04-07,20173,16954,10819,23057,True
313,LAK,1993-12-22,4706,23352,7483,13860,False
314,BND,1988-03-13,20389,14711,297,18071,False
315,SRD,1989-11-19,13968,6733,17306,15274,True
316,SPL,1990-01-25,1372,20186,14262,20946,False
317,CLP,1972-11-13,16403,17526,18319,11119,False
318,BYR,1977-08-06,23889,10508,12548,15460,True
319,TOP,1992-06-01,12358,15956,11895,1432,False
320,SCR,1981-12-18,9554,5651,1615,16290,True
321,GBP,2008-03-29,21884,8891,6187,8599,True
322,NAD,1992-07-23,18346,18740,12479,19562,False
323,PLN,1972-02-25,8403,13423,7551,14342,False
324,IQD,1983-04-10,281,23713,4104,3781,False
325,ARS,2019-08-27,16944,18121,13395,21470,True
326,BAM,2015-07-25,23531,7134,11605,2126,False
327,CNY,2003-02-13,8478,12459,3709,22508,True
328,MRO,2003-11-14,6663,8679,6375,15624,True
329,SVC,2023-08-05,2098,23071,16824,1201,False
330,IRR,2009-01-06,7094,20128,1471,21028,False
331,GHS,1985-06-02,1057,23961,9648,336,False
332,BIF,1997-11-28,5767,17794,9344,5752,False
333,OMR,1975-12-05,6061,3406,1608,4918,True
334,MNT,2008-07-27,635,18577,1959,15459,True
335,DZD,1982-11-27,5817,4581,17964,640,True
336,BND,2003-03-10,9284,2475,18147,10861,True
337,BND,1970-12-30,8078,23064,3293,16141,False
338,BYR,1986-12-10,10109,1464,21283,1961,True
339,GBP,2021-02-11,23018,16550,12211,16568,False
340,MDL,1976-01-09,8047,7599,3079,14025,True
341,NZD,2008-09-24,277,12527,694,17492,True
342,GTQ,1979-01-13,13870,1940,13179,12676,True
343,SRD,2009-06-27,17636,22205,21679,11345,True
344,KRW,1995-07-15,3074,11662,17130,20236,False
345,MKD,1971-02-27,2475,10174,15938,7710,False
346,IDR,2018-03-10,8180,6211,11886,15320,True
347,AWG,2000-11-20,5310,4641,18927,11364,True
348,MOP,1994-05-22,10094,9158,14178,6003,False
349,BMD,1997-10-16,21786,8808,8238,4348,True
350,MYR,1987-08-13,22935,6497,16939,10979,True
351,FKP,2014-01-18,10489,9038,1675,21763,False
352,BWP,1996-12-09,11805,17422,75,9758,True
353,TWD,2019-05-15,23964,7692,7584,21954,False
354,BGN,1970-01-01,20814,6686,17337,3333,True
355,SYP,1978-03-02,21151,23531,7362,23392,False
356,OMR,1971-03-13,20956,1480,23884,4856,False
357,SVC,1982-11-04,1875,23757,21614,8335,False
358,MXN,1988-12-25,15534,13897,12425,727,False
359,KRW,1994-01-13,837,15922,11218,8894,True
360,YER,2008-06-10,16385,3033,5659,15044,True
361,MUR,2016-03-02,10592,8745,17086,6626,True
362,JMD,1971-05-20,11627,4397,19954,20134,False
363,CHF,2002-08-05,18255,9741,20596,1429,True
364,HNL,1985-05-10,17549,9329,13096,9789,True
365,BYR,2021-12-25,22875,12234,15712,316,False
366,SPL,1992-09-13,10753,8013,7843,6560,True
367,CRC,1991-10-24,17487,18900,17554,8033,True
368,GNF,2012-06-03,6866,10328,4889,3960,False
369,BDT,1975-11-22,12306,13994,3229,12333,True
370,COP,1982-05-27,19247,20579,18214,5559,False
371,GYD,2002-08-12,20064,13330,13652,9410,True
372,DZD,2002-08-27,16027,18686,13274,16694,True
373,WST,2023-07-14,336,20225,15151,20525,True
374,UZS,1982-11-22,22949,3235,16014,20490,False
375,ZWD,2019-06-25,1366,17160,21176,10189,True
376,PEN,1982-06-25,14799,3786,14119,19742,True
377,SVC,2020-06-30,9486,9203,11764,14963,True
378,ZMW,2009-06-21,6431,8960,5085,16664,True
379,TND,1985-11-14,7267,3085,18574,22684,False
380,SBD,2016-12-10,15459,20012,916,6865,True
381,AZN,1990-07-28,2345,13998,5944,12315,True
382,SEK,1970-04-05,16552,13176,14594,12538,True
383,SHP,2003-08-24,7458,9269,3027,5732,False
384,PYG,1989-01-12,645,7918,23405,15191,True
385,IDR,1999-01-25,3392,12110,15606,4455,False
386,XAF,1978-09-05,23887,21605,18289,23557,False
387,NPR,1999-05-01,13756,1779,13876,4134,False
388,IQD,1989-03-30,5826,20471,7218,982,True
389,CAD,1985-07-06,10621,18356,2147,8034,True
390,KPW,1983-04-27,3186,5105,3999,8230,False
391,CRC,2010-07-26,16780,22161,16769,8720,True
392,HRK,1975-02-21,20140,6527,4381,6020,False
393,KES,1993-07-02,2812,8974,16353,1182,True
394,ILS,1996-01-09,8605,22986,8917,3598,True
395,STD,1985-11-22,11174,7871,4414,2048,True
396,RUB,1985-04-18,2217,12823,10403,5357,True
397,STD,1991-04-25,8292,7026,15357,1892,True
398,NOK,1987-11-01,6522,16071,13671,6456,True
399,DOP,1997-12-07,2104,2705,2338,20237,False
400,RUB,1994-06-06,3943,6578,15302,22202,True
401,HKD,1997-09-09,1020,19304,5357,23828,True
402,VUV,1970-05-15,23014,7206,1389,18441,True
403,ETB,1983-10-26,16937,5596,12998,10150,True
404,MNT,2004-09-29,17420,6114,21797,14064,True
405,SGD,2022-07-11,13187,17834,17319,12610,True
406,BTN,1986-11-13,16293,13704,15727,22083,False
407,YER,2002-12-11,14977,13761,22295,1291,True
408,BND,1971-12-12,12964,9553,22734,9024,True
409,AOA,1998-08-26,8318,21988,10054,5511,True
410,PKR,2001-08-13,10962,6818,2059,21407,True
411,AOA,1976-12-30,3746,2119,20955,5245,True
412,UYU,2000-06-09,5222,3810,9136,2209,True
413,SLL,1998-06-10,3438,954,4032,21918,False
414,IRR,1971-05-22,5563,1144,12538,18171,True
415,NZD,1983-08-13,10976,10022,299,18496,True
416,EUR,2020-01-30,18596,11124,21200,15179,True
417,UYU,2018-01-08,21227,13891,19399,4997,True
418,RSD,1971-06-20,7447,14074,19619,13497,False
419,DJF,1971-04-16,20994,8634,17708,12927,True
420,GBP,1971-01-25,18482,10645,17450,16555,True
421,OMR,1997-01-25,2835,13985,16292,14614,True
422,SLL,1993-07-21,14423,2964,4669,15223,True
423,CHF,2020-08-16,19958,4845,20611,3537,False
424,RWF,1989-09-03,11514,16549,5413,17198,True
425,PGK,1971-04-26,4609,2477,10939,20425,True
426,MNT,2019-08-30,11158,14429,6993,6041,True
427,DOP,1995-11-23,13319,21218,6096,23723,True
428,SRD,1981-02-17,4130,19826,957,10578,True
429,XDR,2012-09-30,13057,8837,11142,22455,True
430,CUC,2021-10-18,15275,14671,18238,5878,True
431,BHD,1988-12-29,5903,21215,23838,7136,False
432,AMD,1995-05-05,1942,4602,15503,545,False
433,SGD,1976-01-23,8104,3378,1342,7653,False
434,SLL,2018-08-02,20879,14532,18853,15820,True
435,VEF,1977-07-26,12558,13214,5855,20648,False
436,BIF,1975-12-03,12639,14541,3593,20175,True
437,AWG,2000-11-08,7734,20747,18032,17772,False
438,PYG,1995-04-07,13076,12427,1756,23832,True
439,UZS,1984-12-26,16730,17505,2568,14643,True
440,JEP,1970-08-14,22624,23292,22182,23521,False
441,MNT,2013-09-12,10090,17955,8503,3934,True
442,HKD,1994-12-18,7477,9777,21359,6979,True
443,KYD,1973-02-27,7610,12327,16005,3894,True
444,AZN,1992-07-23,22265,7183,260,22085,True
445,AUD,2008-11-01,23461,10663,21303,6520,False
446,MYR,1993-05-27,23843,11481,4091,22619,True
447,GNF,2021-07-12,4102,16412,19354,13210,False
448,BYR,1975-04-08,10289,11899,12901,2533,True
449,XAF,1997-01-31,14364,1801,4507,18474,True
450,LYD,1979-05-28,9693,23991,21853,22375,True
451,AUD,2022-07-06,15723,15543,10305,8975,True
452,INR,2015-03-13,16921,22469,20489,20938,True
453,JOD,1989-07-17,23206,19065,3316,5265,False
454,AUD,2011-10-13,9956,2594,22118,3876,True
455,VUV,2023-04-19,764,1022,16868,20096,True
456,BND,2014-06-27,11521,2194,22684,20875,False
457,PLN,2012-09-08,1657,4585,9409,21229,True
458,BWP,1979-11-03,3993,210,303,11409,True
459,MXN,1981-02-08,9489,5914,17717,21263,False
460,DKK,2003-07-13,4238,2654,19495,14301,False
461,JEP,2003-01-24,18523,20869,14908,6735,True
462,ETB,1993-03-11,12200,18595,9756,2657,True
463,THB,1983-10-24,7543,20156,2100,4006,True
464,AED,1981-02-10,6428,11003,973,13429,True
465,EUR,1983-01-18,17869,2607,13305,7334,True
466,INR,1998-12-25,1928,14682,17642,5050,True
467,NIO,2003-10-14,16993,15736,7087,5588,True
468,SPL,2022-11-22,5946,18332,23258,11840,True
469,VUV,2019-03-15,15527,13707,22217,3147,True
470,ETB,2002-11-23,12958,5217,23522,15471,True
471,KES,2018-10-25,2628,1560,7696,23167,True
472,RUB,2019-04-18,12127,19138,23880,19822,True
473,MRO,2019-04-16,2002,10083,23567,13205,True
474,PGK,1977-10-12,5519,8460,8309,5928,True
475,CHF,2011-12-15,15081,18412,10590,18462,False
476,HUF,1993-02-21,3048,18575,6189,1574,True
477,TMT,1997-07-11,1168,1723,20643,7045,False
478,BIF,1991-11-07,9599,13793,2923,8280,False
479,KYD,2020-04-03,5466,5840,11122,6357,True
480,GTQ,1977-09-14,6124,18738,561,10839,True
481,ALL,1988-07-04,12263,8552,10449,10885,False
482,JOD,1998-12-22,16288,9542,9117,13523,True
483,ZWD,1997-06-27,6495,11991,17289,13623,True
484,XPF,1991-06-18,4977,9554,19754,312,True
485,MWK,2014-04-23,9091,6803,9859,3633,True
486,BOB,2020-06-15,1612,17640,1624,4824,False
487,NIS,1989-08-05,20892,1275,23923,10062,True
488,BYR,2007-09-10,16681,17613,22698,17486,False
489,TRY,2002-11-18,2796,3930,398,21957,True
490,AWG,1985-12-28,21378,8953,23657,23599,True
491,YER,2011-06-20,490,16509,11023,19232,False
492,PLN,2017-07-10,11428,16970,21759,9304,True
493,ANG,2007-11-30,15599,17695,4085,17585,True
494,XOF,2018-08-18,2449,23014,5641,23185,False
495,WST,2018-07-19,6486,791,13966,7055,False
496,ILS,2004-07-01,3118,22803,2542,17931,True
497,USD,2021-08-27,10033,12118,19566,14194,True
498,LRD,1976-07-30,21846,15439,10352,12069,True
499,SLL,2006-10-07,10013,19268,1867,1617,True
500,DZD,2000-03-31,1627,5091,19079,188,False
501,TRY,2011-09-02,20903,13035,13488,5110,True
502,DKK,1981-04-25,23768,20256,3997,18346,True
503,KYD,1977-05-14,20601,22965,22810,8975,True
504,SEK,2007-06-01,5128,5786,3783,17659,False
505,ZMW,1979-01-28,16238,861,18176,17857,True
506,NAD,2011-04-12,8160,2711,16329,12544,False
507,CRC,1982-02-01,23876,5517,5649,4189,True
508,SBD,2008-11-07,13999,7976,3218,17930,False
509,GNF,1983-05-30,11235,3631,23817,4170,True
510,KMF,1981-02-16,13108,12775,16247,469,False
511,ZAR,2008-06-17,13907,21895,5650,6786,True
512,GEL,1993-03-11,17106,6664,12770,18857,False
513,SOS,1994-06-30,3693,22967,12581,16173,False
514,PGK,1973-08-24,13632,12727,17833,5268,True
515,TJS,2012-10-15,1335,7906,22447,3581,True
516,HKD,1990-07-26,2708,10168,12218,11887,False
517,IMP,2011-04-15,2893,22459,16824,2233,True
518,SBD,2004-11-25,18100,21032,19739,8968,False
519,IQD,1986-02-09,11670,16877,15146,5471,False
520,PEN,2022-09-12,7679,4393,8292,20492,False
521,LAK,2005-10-10,10372,21990,12547,8445,True
